params,val_accuracy,val_roc_auc,test_accuracy,test_roc_auc
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 5}",0.5226781857451404,0.5229177555439409,0.5210355987055016,0.5209751147440255
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 10}",0.5431965442764579,0.5432968715000374,0.5285868392664509,0.5284043830821222
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 20}",0.5269978401727862,0.5267770477114911,0.5329018338727076,0.5327893271764125
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 25, 'n_estimators': 5}",0.5237580993520519,0.5239770775778392,0.5221143473570659,0.522117900067962
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 25, 'n_estimators': 10}",0.5205183585313174,0.520841111028149,0.5210355987055016,0.5210798506698444
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 25, 'n_estimators': 20}",0.5496760259179265,0.5497788023594414,0.5318230852211435,0.531762915103386
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 50, 'n_estimators': 5}",0.5356371490280778,0.5357976181587396,0.535059331175836,0.5350632604991947
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 50, 'n_estimators': 10}",0.5431965442764579,0.5433808706040468,0.5361380798274002,0.5361129472224032
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 50, 'n_estimators': 20}",0.5442764578833693,0.5443981930859405,0.5329018338727076,0.5328707884520496
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 5}",0.4956803455723542,0.4960147091764355,0.5221143473570659,0.522048076117416
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 10}",0.5086393088552916,0.5090205704472486,0.5372168284789643,0.5371626339456117
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 20}",0.5259179265658748,0.5261797207496453,0.5307443365695793,0.5307481403554505
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 25, 'n_estimators': 5}",0.5377969762419006,0.5380842604345554,0.4994606256742179,0.49952752460130523
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 25, 'n_estimators': 10}",0.550755939524838,0.5509641230493542,0.5339805825242718,0.5339902991258042
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 25, 'n_estimators': 20}",0.5377969762419006,0.5382522586425744,0.5285868392664509,0.5286022176086693
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 50, 'n_estimators': 5}",0.5237580993520519,0.5242290748898678,0.5296655879180151,0.5296519043318779
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 50, 'n_estimators': 10}",0.5345572354211663,0.5346542970208318,0.5436893203883495,0.5436702261365011
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 50, 'n_estimators': 20}",0.5615550755939525,0.561767341148361,0.5339805825242718,0.5340019364508951
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 20, 'min_samples_split': 10, 'n_estimators': 5}",0.5453563714902808,0.545037519599791,0.5663430420711975,0.5662373269529759
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 20, 'min_samples_split': 10, 'n_estimators': 10}",0.541036717062635,0.541136227880236,0.5609492988133765,0.5608725200860232
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 20, 'min_samples_split': 10, 'n_estimators': 20}",0.550755939524838,0.5506701261853207,0.5426105717367853,0.5425856274380195
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 20, 'min_samples_split': 25, 'n_estimators': 5}",0.5453563714902808,0.545037519599791,0.5663430420711975,0.5662373269529759
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 20, 'min_samples_split': 25, 'n_estimators': 10}",0.541036717062635,0.541136227880236,0.5609492988133765,0.5608725200860232
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 20, 'min_samples_split': 25, 'n_estimators': 20}",0.550755939524838,0.5506701261853207,0.5426105717367853,0.5425856274380195
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 20, 'min_samples_split': 50, 'n_estimators': 5}",0.5367170626349892,0.536646942432614,0.5307443365695793,0.5307365030303595
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 20, 'min_samples_split': 50, 'n_estimators': 10}",0.5377969762419006,0.5374962667064884,0.5382955771305286,0.5382239579939114
"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 20, 'min_samples_split': 50, 'n_estimators': 20}",0.550755939524838,0.5507541252893302,0.535059331175836,0.5349468872482847
